"path","size_kb","extension"
"assets\img\cases\ambev.webp","194,5",".webp"
"assets\img\cases\petrobras.webp","171,6",".webp"
"assets\img\cases\bayer.webp","154,1",".webp"
"assets\img\cases\bmg.webp","150,2",".webp"
"assets\img\cases\ambev-960.webp","68,4",".webp"
"assets\img\cases\petrobras-960.webp","55,1",".webp"
"assets\img\cases\bmg-960.webp","54,6",".webp"
"assets\img\cases\bayer-960.webp","48",".webp"
"assets\img\cases\ambev-640.webp","33,6",".webp"
"assets\img\cases\bmg-640.webp","27,8",".webp"
"assets\img\cases\petrobras-640.webp","25,8",".webp"
"assets\img\cases\bayer-640.webp","22,5",".webp"
"assets\img\foto-placeholder.svg","3",".svg"
